step,loss,acc
10,210595.60938,0.18750
20,101808.92188,0.20312
30,96160.74219,0.25000
40,81829.53125,0.26562
50,61992.84375,0.40625
60,88369.34375,0.32812
70,49269.48047,0.46875
80,65026.67969,0.39062
90,38075.85938,0.51562
100,43448.51562,0.56250
100,45048.93359,0.50500
110,43030.99219,0.57812
120,45912.80859,0.46875
130,43174.17188,0.48438
140,26653.13672,0.59375
150,31001.79492,0.53125
160,35845.00000,0.51562
170,30871.96094,0.50000
180,22095.49219,0.64062
190,28510.42578,0.54688
200,42409.17188,0.50000
200,32847.10547,0.55340
210,31716.37109,0.56250
220,35664.74609,0.48438
230,10490.73047,0.75000
240,27116.08203,0.53125
250,30330.40430,0.51562
260,16476.90234,0.62500
270,27852.33984,0.57812
280,14470.34766,0.71875
290,16889.58203,0.65625
300,10406.48145,0.73438
300,13075.21582,0.72000
310,19105.23438,0.67188
320,9473.84375,0.73438
330,9268.10645,0.78125
340,20168.11133,0.68750
350,10843.63672,0.70312
360,7272.68262,0.76562
370,19888.83398,0.70312
380,9329.67676,0.76562
390,21415.65625,0.65625
400,17931.64648,0.62500
400,13432.99805,0.70880
410,18087.89844,0.73438
420,10441.24707,0.71875
430,19549.31250,0.64062
440,9176.65625,0.71875
450,11338.69922,0.65625
460,8475.54102,0.76562
470,8836.69531,0.76562
480,7850.52100,0.76562
490,7011.32812,0.79688
500,6037.46094,0.82812
500,11452.00195,0.74680
510,14502.01953,0.71875
520,14854.51172,0.64062
530,6588.58154,0.84375
540,8842.75000,0.79688
550,8066.39648,0.79688
560,6256.71289,0.79688
570,16000.45703,0.71875
580,13061.59766,0.70312
590,9773.48242,0.68750
600,7160.74023,0.70312
600,10807.64941,0.74940
610,9599.37891,0.73438
620,7525.49707,0.82812
630,3055.55371,0.84375
640,6496.11133,0.79688
650,3265.24243,0.84375
660,7682.80420,0.73438
670,3770.14746,0.81250
680,5476.02832,0.82812
690,6612.49902,0.73438
700,4951.21094,0.76562
700,8032.19189,0.77800
710,12535.95117,0.75000
720,2839.59570,0.87500
730,2482.17480,0.90625
740,5832.69971,0.78125
750,12147.24609,0.65625
760,11654.09766,0.78125
770,2357.61938,0.82812
780,11263.13281,0.68750
790,9267.79492,0.81250
800,7705.23877,0.85938
800,6742.07764,0.81780
810,7229.97363,0.81250
820,3585.50806,0.84375
830,7658.13232,0.85938
840,2251.34277,0.89062
850,15256.77539,0.68750
860,6560.57227,0.78125
870,5492.21289,0.82812
880,8142.47412,0.81250
890,6185.57910,0.78125
900,2811.05469,0.87500
900,6918.24463,0.80480
910,4556.67480,0.82812
920,6975.36865,0.81250
930,1773.78455,0.87500
940,7113.70215,0.71875
950,6586.44385,0.76562
960,9647.91016,0.79688
970,3292.24268,0.84375
980,7298.85205,0.79688
990,8489.36133,0.85938
1000,4288.04199,0.79688
1000,5800.38721,0.82080
1010,2771.40552,0.85938
1020,5423.62793,0.84375
1030,3625.97705,0.90625
1040,1772.62268,0.89062
1050,3253.53394,0.89062
1060,2252.51099,0.93750
1070,1448.18860,0.92188
1080,4207.32422,0.84375
1090,9592.82031,0.76562
1100,3154.81177,0.87500
